Roll number,Rarity,Operator
6,3,Midnight
7,3,Kroos
8,4,Podenco
9,4,Arene
10,5,Kafka
11,4,Jessica
12,3,Spot
13,3,Catapult
14,3,Kroos
15,4,Cuora
16,4,Rope
17,5,Waai Fu
18,3,Plume
19,3,Vanilla
20,3,Fang
21,5,Franka
22,5,Glaucus
23,3,Hibiscus
24,4,Shirayuki
25,3,Lava
26,4,Scavenger
27,4,Utage
28,3,Vanilla
29,5,Ayerscape
30,4,Pinecone
31,3,Plume
32,5,Franka
33,5,Franka
34,4,Rope
35,4,Scavenger
36,3,Kroos
37,3,Fang
38,4,Greyy
39,4,Arene
40,3,Lava
41,4,Matoimaru
42,4,Shirayuki
43,3,Plume
44,4,Shaw
45,4,Myrrh
46,4,Jackie
47,5,Proviso
48,5,Warfarin
49,4,Cutter
50,3,Lava
51,4,Matterhorn
52,5,Franka
53,6,Mostima
54,5,Mr. Nothing
55,3,Beagle
56,3,Cardigan
57,3,Ansel
58,3,Catapult
59,4,Cuora
60,4,Earthspirit
61,4,Rope
62,4,Click
63,4,Podenco
64,4,Matterhorn
65,4,Gummy
66,3,Hibiscus
67,3,Popukar
68,3,Beagle
69,4,Ambriel
70,4,Greyy
71,3,Melantha
72,6,Saileach
73,4,Myrrh
74,4,Cuora
75,5,Sora
76,4,Jackie
77,3,Popukar
78,4,Beanstalk
79,4,Click
80,5,Proviso
81,4,Beehunter
82,5,Cantabile
83,4,Matterhorn
84,4,Click
85,6,Goldenglow
86,4,Rope
87,4,Shaw
88,4,Sussurro
89,4,Beanstalk
90,4,Aciddrop
91,3,Fang
92,3,Cardigan
93,4,Sussurro
94,4,Beanstalk
95,3,Fang
96,3,Midnight
97,4,Deepcolor
98,4,Matterhorn
99,4,Ambriel
100,3,Spot
101,3,Spot
102,3,Catapult
103,4,Aciddrop
104,4,Cutter
105,3,Kroos
106,4,Click
107,3,Popukar
108,3,Steward
109,4,Jaye
110,3,Plume
111,6,Mlynar
1,3,Vanilla
2,3,Lava
3,3,Catapult
4,4,May
5,5,Liskarm
6,3,Kroos
7,3,Catapult
8,4,Utage
9,4,Jaye
10,3,Popukar
11,4,Frostleaf
12,3,Midnight
13,4,Frostleaf
14,3,Steward
15,3,Lava
16,4,Matterhorn
17,3,Popukar
18,3,Popukar
19,3,Catapult
20,4,Shaw
21,5,Franka
22,4,Perfumer
23,4,Perfumer
24,4,Beehunter
25,5,Proviso
26,4,Rope
27,4,May
28,4,Shirayuki
29,3,Lava
30,3,Vanilla
31,4,Beanstalk
32,3,Beagle
33,4,Doberman
34,3,Beagle
35,5,Andrena
36,4,Rope
37,3,Vanilla
38,4,Matoimaru
39,3,Vanilla
40,4,Matoimaru
41,4,Beehunter
42,4,Gummy
43,4,Rope
44,4,Aciddrop
45,3,Cardigan
46,4,Matoimaru
47,3,Plume
48,4,Haze
49,3,Lava
50,3,Kroos
51,4,Earthspirit
52,4,Myrrh
53,4,Beanstalk
54,4,Arene
55,3,Catapult
56,3,Steward
57,4,Perfumer
58,3,Spot
59,4,Myrrh
60,4,Roberta
61,6,Mlynar
1,5,Proviso
2,4,Beehunter
3,4,Deepcolor
4,4,Chestnut
5,4,Pinecone
6,3,Lava
7,4,Podenco
8,3,Ansel
9,3,Cardigan
10,4,Matoimaru
11,4,Earthspirit
12,3,Melantha
13,4,Beehunter
14,4,Gravel
15,4,Ambriel
16,3,Melantha
17,4,Perfumer
18,4,Myrtle
19,3,Cardigan
20,4,Cutter
21,3,Popukar
22,4,Utage
23,4,Jaye
24,4,Gummy
25,3,Lava
26,4,Matoimaru
27,6,Siege
28,3,Vanilla
29,3,Steward
30,4,Utage
31,5,Chiave
32,3,Cardigan
33,4,Shaw
34,3,Vanilla
35,6,Mlynar
1,4,Gummy
2,3,Midnight
3,4,Frostleaf
4,3,Melantha
5,3,Catapult
6,4,Gravel
7,3,Vanilla
8,3,Spot
9,3,Hibiscus
10,5,Croissant
11,4,Click
12,4,Cutter
13,4,Earthspirit
14,4,Vigna
15,3,Steward
16,3,Orchid
17,3,Beagle
18,4,Myrtle
19,4,Perfumer
20,5,Proviso
21,4,May
22,4,Sussurro
23,4,Myrrh
24,4,Jessica
25,4,Beehunter
26,4,Cutter
27,3,Lava
28,4,Meteor
29,4,Pinecone
30,4,Vermeil
31,4,Meteor
32,4,Click
33,3,Steward
34,3,Popukar
35,3,Lava
36,3,Plume
37,3,Plume
38,4,Perfumer
39,3,Catapult
40,4,Greyy
41,3,Kroos
42,3,Catapult
43,5,Proviso
44,4,Arene
45,4,Matoimaru
46,4,Jackie
47,4,Matterhorn
48,4,Myrrh
49,3,Orchid
50,3,Ansel
51,4,Vermeil
52,4,Jaye
53,6,Mlynar
1,4,Haze
2,3,Lava
3,4,Vigna
4,3,Lava
5,4,Vermeil
6,4,Ambriel
7,3,Orchid
8,3,Ansel
9,4,Vigna
10,5,Proviso
11,4,Jessica
12,3,Steward
13,4,Myrtle
14,4,Perfumer
15,4,Myrtle
16,3,Vanilla
17,4,Myrrh
18,4,Cuora
19,3,Cardigan
20,4,Jackie
21,4,Frostleaf
22,4,Jackie
23,3,Plume
24,4,Rope
25,4,Rope
26,4,Aciddrop
27,3,Vanilla
28,4,Scavenger
29,3,Hibiscus
30,3,Cardigan
31,3,Vanilla
32,3,Plume
33,3,Ansel
34,4,Ambriel
35,4,Scavenger
36,4,Roberta
37,3,Kroos
38,3,Vanilla
39,4,Mousse
40,3,Hibiscus
41,4,Jessica
42,4,Shirayuki
43,3,Orchid
44,3,Orchid
45,3,Plume
46,3,Melantha
47,3,Popukar
48,3,Catapult
49,3,Popukar
50,4,Gummy
51,3,Kroos
52,5,Corroserum
53,6,Hoshiguma
54,3,Fang
55,4,Rope
56,4,Earthspirit
57,4,Chestnut
58,3,Beagle
59,3,Catapult
60,3,Kroos
61,3,Hibiscus
62,4,May
63,4,Click
64,3,Lava
65,5,Proviso
66,4,Vigna
67,4,Gravel
68,3,Vanilla
69,3,Spot
70,4,Mousse
71,4,Matoimaru
72,4,Pinecone
73,4,Aciddrop
74,4,Chestnut
75,3,Plume
76,4,Roberta
77,5,Kazemaru
78,6,Mlynar
1,3,Melantha
2,3,Lava
3,4,Jaye
4,5,Aurora
5,4,Scavenger
6,4,Jackie
7,4,Aciddrop
8,4,Chestnut
9,4,Podenco
10,4,Rope
11,3,Vanilla
12,3,Lava
13,3,Catapult
14,4,May
15,4,Click
16,3,Hibiscus
17,4,Myrtle
18,3,Steward
19,3,Cardigan
20,5,Toddifons
21,4,Meteor
22,3,Cardigan
23,3,Plume
24,3,Catapult
25,4,Jessica
26,3,Cardigan
27,4,Meteor
28,4,Pinecone
29,3,Midnight
30,4,Earthspirit
31,3,Beagle
32,4,Aciddrop
33,4,Jessica
34,4,Shirayuki
35,3,Steward
36,4,Frostleaf
37,3,Lava
38,3,Midnight
39,3,Kroos
40,4,Vigna
41,4,Rope
42,4,Utage
43,4,Mousse
44,3,Spot
45,3,Plume
46,5,Franka
47,4,Ambriel
48,4,Podenco
49,4,Meteor
50,6,Dorothy
51,3,Melantha
52,3,Spot
53,4,Vigna
54,4,Ambriel
55,3,Fang
56,4,Doberman
57,4,Matoimaru
58,4,Shirayuki
59,4,Jaye
60,4,Haze
61,6,Mlynar
1,3,Steward
2,4,Pinecone
3,4,Ambriel
4,5,Franka
5,4,Matoimaru
6,3,Popukar
7,3,Vanilla
8,3,Spot
9,4,Sussurro
10,4,Perfumer
11,4,Frostleaf
12,4,Ambriel
13,4,Myrrh
14,4,Vigna
15,4,Myrtle
16,3,Cardigan
17,4,Frostleaf
18,4,Greyy
19,5,Nightmare
20,3,Midnight
21,3,Fang
22,3,Kroos
23,3,Lava
24,4,Scavenger
25,3,Spot
26,3,Plume
27,4,Perfumer
28,5,Franka
29,4,Gravel
30,4,Rope
31,3,Fang
32,5,Andrena
33,5,Proviso
34,3,Beagle
35,3,Catapult
36,3,Orchid
37,4,Ambriel
38,5,Blue Poison
39,4,Myrrh
40,3,Popukar
41,3,Beagle
42,3,Hibiscus
43,4,Indigo
44,3,Vanilla
